timestamp,product_id,feedback
1,A12,1
2,A12,0
3,A12,1
4,A12,1
5,A12,0
6,A12,1
7,A12,1
8,A12,0
9,A12,1
10,A12,1
11,B34,0
12,B34,1
13,B34,1
14,B34,1
15,B34,0
16,B34,1
17,B34,0
18,B34,1
19,B34,1
20,B34,1
21,C56,0
22,C56,1
23,C56,1
24,C56,0
25,C56,1
26,C56,1
27,C56,1
28,C56,0
29,C56,1
30,C56,1
31,D78,1
32,D78,0
33,D78,1
34,D78,1
35,D78,0
36,D78,1
37,D78,1
38,D78,0
39,D78,1
40,D78,1
41,E90,0
42,E90,1
43,E90,1
44,E90,1
45,E90,0
46,E90,1
47,E90,0
48,E90,1
49,E90,1
50,E90,1
51,A12,1
52,A12,0
53,A12,1
54,A12,1
55,A12,0
56,A12,1
57,A12,1
58,A12,0
59,A12,1
60,A12,1
61,B34,0
62,B34,1
63,B34,1
64,B34,1
65,B34,0
66,B34,1
67,B34,0
68,B34,1
69,B34,1
70,B34,1
71,C56,0
72,C56,1
73,C56,1
74,C56,0
75,C56,1
76,C56,1
77,C56,1
78,C56,0
79,C56,1
80,C56,1
81,D78,1
82,D78,0
83,D78,1
84,D78,1
85,D78,0
86,D78,1
87,D78,1
88,D78,0
89,D78,1
90,D78,1
91,E90,0
92,E90,1
93,E90,1
94,E90,1
95,E90,0
96,E90,1
97,E90,0
98,E90,1
99,E90,1
100,E90,1
101,A12,0
102,A12,1
103,A12,0
104,A12,1
105,A12,1
106,A12,0
107,A12,1
108,A12,0
109,A12,1
110,A12,1
111,B34,1
112,B34,0
113,B34,1
114,B34,1
115,B34,1
116,B34,0
117,B34,1
118,B34,1
119,B34,1
120,B34,0
121,C56,1
122,C56,1
123,C56,0
124,C56,1
125,C56,0
126,C56,1
127,C56,1
128,C56,0
129,C56,1
130,C56,1
131,D78,1
132,D78,0
133,D78,1
134,D78,1
135,D78,1
136,D78,0
137,D78,1
138,D78,0
139,D78,1
140,D78,1
141,E90,1
142,E90,0
143,E90,1
144,E90,1
145,E90,1
146,E90,0
147,E90,1
148,E90,1
149,E90,1
150,E90,0
151,A12,1
152,A12,0
153,A12,1
154,A12,1
155,A12,0
156,A12,1
157,A12,1
158,A12,0
159,A12,1
160,A12,1
161,B34,0
162,B34,1
163,B34,1
164,B34,1
165,B34,0
166,B34,1
167,B34,0
168,B34,1
169,B34,1
170,B34,1
171,C56,0
172,C56,1
173,C56,1
174,C56,0
175,C56,1
176,C56,1
177,C56,1
178,C56,0
179,C56,1
180,C56,1
181,D78,1
182,D78,0
183,D78,1
184,D78,1
185,D78,0
186,D78,1
187,D78,1
188,D78,0
189,D78,1
190,D78,1
191,E90,0
192,E90,1
193,E90,1
194,E90,1
195,E90,0
196,E90,1
197,E90,0
198,E90,1
199,E90,1
200,E90,1
