tweet_id,created_at,text,author_id,conversation_id,in_reply_to_user_id,lang,possibly_sensitive,source,like_count,retweet_count,reply_count,quote_count,username,user_name,user_created_at,user_protected,user_verified,media_type,media_url,media_duration_ms,media_width,media_height,place_name,place_country,place_latitude,place_longitude,poll_duration_minutes,poll_end_time,poll_status,poll_options
1900449867664626115,2025-03-14 07:32:11+00:00,"@vibeofswetha @AshokDharbal @rishibagree Flexing about not knowing Hindi while struggling to buy vegetables with a translation app? 😂 Must be tough surviving without mommy's supermarket. Meanwhile, the laborers you mock build the cities you live in. Maybe learn respect before learning Python.",1816315585363599361,1900063037458927631,1.7380464475207148e+18,en,,,0,0,0,0,Avinashsiinghh,Avinash Singh,2024-07-25 03:32:53+00:00,False,False,,,,,,,,,,,,,
1900449820789133743,2025-03-14 07:32:00+00:00,RT @Wat_the_deuce: Monty Python 😁 https://t.co/KJKoJ2P1xG,1373580142765805573,1900449820789133743,,cy,,,0,46,0,0,Diegode00599490,Diego,2021-03-21 10:20:42+00:00,False,False,video,,58817.0,720.0,1024.0,,,,,,,,
1900449800027271244,2025-03-14 07:31:55+00:00,"RT @quantscience_: 🚨BREAKING: A new Python library for algorithmic trading. 

Introducing TensorTrade: An open-source Python framework for…",23241398,1900449800027271244,,en,,,0,324,0,0,ESchwaa,ESchwaa,2009-03-07 22:14:00+00:00,False,False,,,,,,,,,,,,,
1900449796864852058,2025-03-14 07:31:54+00:00,"ストレスMAXでほぼ3日間ごろ寝のみで過ごした状態で本屋に寄っちゃダメだった🤦‍♀️

3年前に気になってた「python」の学習本を衝動買いwww

ExcelVBAに近い考え方だから絶対私に合うのはわかってた。楽しそう🤩

が、今夜はちゃんと寝ます！
というか既に超眠い🥱💤",1573286778668453888,1900449796864852058,,ja,,,0,0,0,0,mkanadeizm46237,カイワレ@,2022-09-23 12:23:02+00:00,False,False,,,,,,,,,,,,,
1900449779596840988,2025-03-14 07:31:50+00:00,"Yes I am very capable, mainly on python or windows 11. But I still use apple to record thoughts.",746566256350756864,1900449779596840988,,en,,,0,0,0,0,mattrameyy,Matthew.,2016-06-25 04:50:41+00:00,False,False,,,,,,,,,,,,,
1900449768796553435,2025-03-14 07:31:48+00:00,"@TechWithArian @iamarsibragimov I learned python using https://t.co/1bJx6eXofY. I'm not a video guy but the lecturer is so good. It may seem minuscule but I promise you that you can do so much with these basics. 

Learn how to do all the problem sets without AI assistance. You can use AI if you get stuck or… https://t.co/oIuJo7nL1B",1890867256722427904,1900441642944839816,1.8791808987065795e+18,en,,,0,0,0,0,pythonloopgod,Butch,2025-02-15 20:54:35+00:00,False,False,,,,,,,,,,,,,
1900449726048403917,2025-03-14 07:31:37+00:00,"RT @ChehadeTheKing: COYOTE &amp; AB-SOUL

“RUNNING ALL FADES”

PRODUCED BY PYTHON P &amp; D. SHARP
(FULL SONG) https://t.co/It8D5Vdq5L",927933491651555328,1900449726048403917,,en,,,0,23,0,0,RideWithDoc,Doc Ellery,2017-11-07 16:19:19+00:00,False,False,video,,238425.0,1080.0,1080.0,,,,,,,,
1900449715507884490,2025-03-14 07:31:35+00:00,"RT @coder_surya: 85.65 GB All paid Courses Collection

FREE for the first 1000 people👇

💀Data science
💀Python
💀AI
💀Java
💀BIG DATA
💀Data Ana…",3422497005,1900449715507884490,,en,,,0,2,0,0,amykris85,uzoamaka ekwuonu,2015-08-14 17:15:31+00:00,False,False,,,,,,,,,,,,,
1900449709283577878,2025-03-14 07:31:33+00:00,"@kato82 もっとガッツリした言語……pythonとか。
ああいうのを素人さんがやるようになっちゃあ、おまんまの食い上げですわ😅",11409532,1900447411027501197,11409532.0,ja,,,0,0,0,0,ma_angie,まアンジー,2007-12-21 17:02:16+00:00,False,False,,,,,,,,,,,,,
1900449626102390903,2025-03-14 07:31:14+00:00,"RT @report_with_ai: Complimentary PDF Book: Learn Python, JavaScript &amp; React.js

Learn these for completely free.

You will get:

→‍ Python…",1684343342010601473,1900449626102390903,,en,,,0,19,0,0,AshleyEdgar1206,Ashley Edgar,2023-07-26 23:22:26+00:00,False,False,,,,,,,,,,,,,
1900449897003827390,2025-03-14 07:32:18+00:00,RT @jinxediaz: bucks older sister who raised him got kidnapped throat slashed and he said wrdgaf ima bake eddie cookies tho mind you last t…,1130182501677379585,1900449897003827390,,en,,,0,10,0,0,lesbianoflight,mateo (he/they),2019-05-19 18:44:40+00:00,False,False,,,,,,,,,,,,,
1900449891949646133,2025-03-14 07:32:17+00:00,"RT @sabir_huss50540: If you’re interested in LEARNING all of these for FREE:

✎Product management
✎Project management
✎Business analytics
✎…",320972192,1900449891949646133,,en,,,0,55,0,0,NtandoKumalo,Kazimoto33,2011-06-20 20:32:49+00:00,False,False,,,,,,,,,,,,,
1900449855580827842,2025-03-14 07:32:08+00:00,"@hubdotxyz I will focus on transparency and trust, these are the things many web3 consumers struggle to deal with, a lot of users do not have privacy over their own data which allows the big tech to exploit it without them knowing but it's not a new anymore even though no one is admitting.",1283168298134315010,1899890311268057584,1.7699415037516718e+18,en,,,0,0,0,0,georgeinnerside,baẞẞey yap certified yapper Meshchain.Ai,2020-07-14 22:35:49+00:00,False,False,,,,,,,,,,,,,
1900449715507884490,2025-03-14 07:31:35+00:00,"RT @coder_surya: 85.65 GB All paid Courses Collection

FREE for the first 1000 people👇

💀Data science
💀Python
💀AI
💀Java
💀BIG DATA
💀Data Ana…",3422497005,1900449715507884490,,en,,,0,2,0,0,amykris85,uzoamaka ekwuonu,2015-08-14 17:15:31+00:00,False,False,,,,,,,,,,,,,
1900449646066946527,2025-03-14 07:31:18+00:00,"AI+Defi= infinite possibilities @TheoriqAI 
AIFi combines artificial intelligence, big data analytics and blockchain technology to bring revolutionary changes to decentralized finance (DeFi).
The big advantage of AIFI is clear shown in the below table: https://t.co/hMIVWzCDyF",1296372333825781760,1900449646066946527,,en,,,1,0,0,0,HotPot28599523,"Hot Pot .🟠 GAIB(Ø,G)",2020-08-20 09:03:52+00:00,False,False,photo,https://pbs.twimg.com/media/Gl_AZoSaIAAPUTu.png,,1112.0,720.0,,,,,,,,
1900449486511759468,2025-03-14 07:30:40+00:00,"RT @allen_lattimer: FREE Google Drive link to learn :

-Data Analytics
-Business Analysis
-Data Visualization
-SQL
-Big Data
-Resume tips
-…",579139891,1900449486511759468,,en,,,0,14,0,0,officeaksingh,Arun Kr Singh,2012-05-13 17:34:42+00:00,False,False,,,,,,,,,,,,,
1900449485022781779,2025-03-14 07:30:40+00:00,"@hubdotxyz anwser short

I’d tackle the lack of control over digital identity and data with a decentralized, user-owned ""digital passport"" on blockchain—giving people freedom from Big Tech’s grip. Thoughts?",1575056315571118082,1899890311268057584,1.7699415037516718e+18,en,,,0,0,0,0,hiHoangf11,"Hoàng Huy ""EJ7RMG32”",2022-09-28 09:34:41+00:00,False,False,,,,,,,,,,,,,
1900449477862834456,2025-03-14 07:30:38+00:00,@Xyes_com Tagging a friend who needs $25 to invest in their PublicAI data annotation skills!  @Xyes_com  ♻️  @friend's_handle  #WinBig  Maybe they can even win big with PublicAI!,1279443077216833536,1900215502821060912,9.601531992850637e+17,en,,,0,0,0,0,mufasa65902875,Plato Thetic,2020-07-04 15:53:13+00:00,False,False,,,,,,,,,,,,,
1900449475665055991,2025-03-14 07:30:38+00:00,RT @BirdTrack: BirdTrack data shows that the big arrival of Chiffchaff in the last week is around two weeks earlier than the long term aver…,1957296852,1900449475665055991,,en,,,0,17,0,0,Linacreblogger,Peter Stoppard,2013-10-12 19:24:33+00:00,False,False,,,,,,,,,,,,,
1900449344794615855,2025-03-14 07:30:07+00:00,"RT @sabir_huss50540: If you’re interested in LEARNING all of these for FREE:

✎Product management
✎Project management
✎Business analytics
✎…",1489419411584806914,1900449344794615855,,en,,,0,55,0,0,Lakuna91400891,Iam Kalan,2022-02-04 02:04:03+00:00,False,False,,,,,,,,,,,,,
